id;title;date;generico_cosmico;generico_terrestre;inventato;no_ambientazione;nominato_cosmico;nominato_terrestre;pct_nebbia_normalizzata;pct_cancellazione_normalizzata;pct_nebbia;pct_cancellazione;norma_pct_caratteri_nebbia_cancellazione;nebbia_words_ratio;cancellazione_words_ratio;dubitative_ratio;n_lists_f;n_lists_m;n_lists_p;n_lists_s;text_length;n_generico_cosmico;n_generico_terrestre;n_inventato;n_no_ambientazione;n_nominato_cosmico;n_nominato_terrestre
S156;La glaciazione;27/04/1975;0;0.75;0;0;0;0.25;0;0;0;0;0;0;0;0;1126;0;0;0;6231;0;3;0;0;0;1
S157;L'uomo di Neanderthal;01/05/1975;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2923;118;0;0;15168;0;0;0;0;0;1
S158;Montezuma;01/05/1975;0;0;0;0;0;1;0;0;0;0;0;0;0;0;586;0;107;0;20699;0;0;0;0;0;2
S159;Prima che tu dica «Pronto»;27/07/1975;0;0;0;0;0;1;0;0.19;0;100;0.19;0;0.06;0.05;0;66;121;232;16064;0;0;0;0;0;2
S160;La corsa delle giraffe;01/08/1975;0;0;0;0;0;1;0;0;0;0;0;0;0;0;194;0;0;0;2780;0;0;0;0;0;2
S161;Del mordersi la lingua;01/08/1975;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
S162;Il fischio del merlo;10/08/1975;0;1;0;0;0;0;0.1;0;100;0;0.08;0.06;0;0.02;0;0;0;237;9784;0;2;0;0;0;0
S163;Del prendersela coi giovani;10/08/1975;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;99;0;3072;0;0;0;1;0;0
S164;Lettura di un'onda;24/08/1975;0;1;0;0;0;0;0;0;0;0;0;0;0;0;325;0;33;0;8420;0;4;0;0;0;0
S165;La pantofola spaiata;18/09/1975;0;0.333;0;0;0;0.667;0;0.53;0;100;0.53;0;0.03;0.02;0;0;0;0;0;0;1;0;0;0;2
S166;Un chilo e mezzo di grasso d'oca;23/01/1976;0;0;0;0;0;1;0.23;0;100;0;0.19;0.06;0;0.02;0;71;0;259;4952;0;0;0;0;0;3
S167;Altre città;01/04/1976;0;1;0;0;0;0;0.2;0.19;50;50;0.35;0.06;0.03;0.05;0;0;145;0;6749;0;2;0;0;0;0
S168;Serpenti e teschi;16/07/1976;0;0;0;0;0;1;0;0;0;0;0;0;0;0;110;0;127;0;5772;0;0;0;0;0;4
S169;Il richiamo dell'acqua;01/12/1976;0;1;0;0;0;0;0.18;0;100;0;0.14;0.06;0;0.02;434;0;45;556;8736;0;1;0;0;0;0
S170;L'aiola di sabbia;16/01/1977;0;0;0;0;0;1;0;0;0;0;0;0;0;0;694;0;0;0;5037;0;0;0;0;0;3
S171;La poubelle agréée;01/02/1977;0;0;0;0;0;1;0.07;0.05;67;33;0.1;0.12;0.03;0.07;506;1491;403;127;41079;0;0;0;0;0;6
S172;Il seno nudo;02/08/1977;0;1;0;0;0;0;0.26;0;100;0;0.21;0.06;0;0.02;386;0;0;421;5137;0;2;0;0;0;0
S173;Il crollo del tempo;01/10/1977;0;1;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;3;0;0;0;0
S174;Parafrasi;01/04/1978;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;32;0;3825;0;0;0;1;0;0
S175;Lo specchio e il bersaglio;24/12/1978;0;1;0;0;0;0;0;0;0;0;0;0;0;0;211;358;198;367;12906;0;3;0;0;0;0
S176;La coscienza a posto;15/03/1980;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;7552;0;1;0;0;0;0
S177;Quattro favole d'Esopo per Valerio Adami;01/05/1980;0;0;0;1;0;0;0;0.57;0;100;0.57;0;0.09;0.07;608;0;0;109;7490;0;0;0;1;0;0
S178;Il gorilla albino;16/05/1980;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;82;4684;0;0;0;0;0;2
S179;L'altra euridice;01/09/1980;0;0;0.2;0;0.8;0;0;0;0;0;0;0;0;0;572;0;0;643;16915;0;0;1;0;4;0
S180;Essere pietra (per Alberto Magnelli);14/07/1981;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;97;158;578;4167;0;0;0;1;0;0
S181;Le memorie di Casanova;30/11/1981;0;0.75;0;0;0;0.25;0;0.16;0;100;0.16;0;0.06;0.05;697;138;207;0;18849;0;3;0;0;0;1
S182;L'invasione degli storni;03/12/1981;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;177;56;0;9054;0;0;0;0;0;2
S183;Il silenzio e la città;01/01/1982;0;1;0;0;0;0;0;0.17;0;100;0.17;0;0.03;0.02;376;651;258;69;12343;0;1;0;0;0;0
S184;L'occhio e i pianeti;15/04/1982;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1150;0;29;0;8184;0;1;0;0;0;0
S185;Sapore Sapere;01/06/1982;0;0;0;0;0;1;0.04;0.04;50;50;0.07;0.06;0.03;0.05;602;353;389;731;41220;0;0;0;0;0;7
S186;Il mondo guarda il mondo;01/07/1982;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;66;0;3938;0;0;0;1;0;0
S187;La pancia del geco;12/08/1982;0;0;1;0;0;0;0;0;0;0;0;0;0;0;292;0;76;0;6400;0;0;3;0;0;0
S188;Quattro studi dal vero;01/03/1983;0;0;0;1;0;0;0.08;0;100;0;0.06;0.06;0;0.02;0;0;222;94;14889;0;0;0;1;0;0
S189;Viaggio nelle città di de Chirico;01/07/1983;0;1;0;0;0;0;0;0;0;0;0;0;0;0;417;60;120;114;17663;0;1;0;0;0;0
S190;La spada del sole;29/07/1983;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;130;170;124;9267;0;3;0;0;0;0
S191;La contemplazione delle stelle;25/08/1983;0;1;0;0;0;0;0;0.55;0;100;0.55;0;0.09;0.07;684;95;0;0;8612;0;2;0;0;0;0
S192;Gli amori delle tartarughe;19/11/1983;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
S193;Il prato infinito;19/11/1983;0;1;0;0;0;0;0;0.23;0;100;0.23;0;0.03;0.02;60;0;0;170;6978;0;1;0;0;0;0
S194;Luna di pomeriggio;19/11/1983;0;1;0;0;0;0;0;0;0;0;0;0;0;0;174;0;0;111;4615;0;2;0;0;0;0
S195;Dal terrazzo;19/11/1983;0;0;0;0;0;1;0;0;0;0;0;0;0;0;324;543;0;1116;7605;0;0;0;0;0;2
S196;Il museo dei formaggi;19/11/1983;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;65;125;129;6229;0;0;0;0;0;2
S197;Il marmo e il sangue;19/11/1983;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;820;4138;0;1;0;0;0;0
S198;L'ordine degli squamati;19/11/1983;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1109;73;0;527;6634;0;0;0;0;0;3
S199;Il modello dei modelli;19/11/1983;0;0;0;1;0;0;0;0.23;0;100;0.23;0;0.03;0.02;0;0;0;229;6836;0;0;0;1;0;0
S200;L'universo come specchio;19/11/1983;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1474;0;201;181;7002;0;1;0;0;0;0
S201;Come imparare a essere morto;19/11/1983;0;1;0;0;0;0;0;0.14;0;100;0.14;0;0.03;0.02;0;0;0;0;0;0;1;0;0;0;0
S202;L'ultimo canale;03/01/1984;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;1044;12804;0;3;0;0;0;0
S203;Il ricordo è bendato;01/06/1984;0.286;0.714;0;0;0;0;0.12;0;100;0;0.1;0.06;0;0.02;177;0;0;587;11582;2;5;0;0;0;0
S204;Un re in ascolto;12/08/1984;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1114;328;269;1323;46528;0;5;0;0;0;0
S205;Il niente e il poco;02/09/1984;1;0;0;0;0;0;0;0;0;0;0;0;0;0;922;92;331;0;15867;1;0;0;0;0;0
S206;L'implosione;13/09/1984;1;0;0;0;0;0;0;0;0;0;0;0;0;0;565;0;109;327;9364;2;0;0;0;0;0
V001;Il sentiero dei nidi di ragno;10/10/1947;0;1;0;0;0;0;0.08;0.03;76;24;0.09;1.34;0.16;0.48;2752;2790;638;1546;249888;0;25;0;0;0;0
V003;Il visconte dimezzato;12/02/1952;0;0;0.833;0;0;0.167;0;0;0;0;0;0;0;0;3528;705;405;710;138103;0;0;20;0;0;4
V005;Il barone rampante;04/06/1957;0;0.042;0.958;0;0;0;0;0.01;0;100;0.01;0;0.09;0.07;10513;7522;2215;5611;416814;0;3;68;0;0;0
V008;Il cavaliere inesistente;30/11/1959;0;0.571;0.057;0;0;0.371;0;0.01;0;100;0.01;0;0.03;0.02;9495;2967;1665;3889;197268;0;20;2;0;0;13
V009;La giornata di uno scrutatore;28/02/1963;0;0;0;0;0;1;0.02;0.03;50;50;0.04;0.12;0.06;0.09;5820;662;789;2803;121328;0;0;0;0;0;15
V010;La speculazione edilizia;28/06/1963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
V016;Il castello dei destini incrociati;01/11/1969;0;1;0;0;0;0;0;0;0;0;0;0;0;0;809;847;539;884;62895;0;3;0;0;0;0
V018;Le città invisibili;03/11/1972;0;0;0;0;0;1;0.06;0.08;43;57;0.13;0.35;0.28;0.34;6074;3328;2138;6345;146738;0;0;0;0;0;61
V020;Eremita a Parigi;01/12/1974;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
V021;Se una notte d'inverno un viaggiatore;02/06/1979;0;0.494;0.442;0;0;0.065;0.03;0.11;27;73;0.14;1.11;1;1;22454;1329;3603;10003;458335;0;38;34;0;0;5
