id;title;date;generico_cosmico;generico_terrestre;inventato;no_ambientazione;nominato_cosmico;nominato_terrestre;pct_nebbia_normalizzata;pct_cancellazione_normalizzata;pct_nebbia;pct_cancellazione;norma_pct_caratteri_nebbia_cancellazione;nebbia_words_ratio;cancellazione_words_ratio;dubitative_ratio;n_lists_f;n_lists_m;n_lists_p;n_lists_s;text_length;n_generico_cosmico;n_generico_terrestre;n_inventato;n_no_ambientazione;n_nominato_cosmico;n_nominato_terrestre
S040;Attesa della morte in un albergo;30/07/1949;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0
S041;Uno dei tre è ancora vivo;30/07/1949;0;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;14887;0;3;3;0;0;0
S042;L'avventura di un soldato;30/07/1949;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
S043;Desiderio in novembre;30/07/1949;0;1;0;0;0;0;0;0;0;0;0;0;0;0;634;0;0;291;14101;0;10;0;0;0;0
S044;Lettera ad Amelia sui dischi volanti;07/04/1950;0;1;0;0;0;0;0;0;0;0;0;0;0;0;336;0;0;0;7633;0;2;0;0;0;0
S045;Storia del soldato che portò il cannone a casa;17/08/1950;0;1;0;0;0;0;0;0;0;0;0;0;0;0;626;122;0;0;11610;0;8;0;0;0;0
S046;Pesci grossi, pesci piccoli;23/09/1950;0;1;0;0;0;0;0;0;0;0;0;0;0;0;147;0;106;236;16862;0;6;0;0;0;0
S047;Cimitero di biciclette;01/11/1950;0;1;0;0;0;0;0.11;0;100;0;0.09;0.06;0;0.02;0;0;45;0;12416;0;7;0;0;0;0
S048;Mai nessuno degli uomini lo seppe;09/11/1950;0;0.818;0;0;0;0.182;0.08;0;100;0;0.09;0.06;0;0.02;510;155;0;115;15006;0;9;0;0;0;2
S049;Il reggimento smarrito;15/07/1951;0;1;0;0;0;0;0;0;0;0;0;0;0;0;583;250;0;428;10193;0;13;0;0;0;0
S050;L'avventura di una bagnante;01/08/1951;0;0.667;0;0;0;0.333;0;0;0;0;0;0;0;0;2805;0;0;203;21333;0;2;0;0;0;1
S051;Un compagno venuto da lontano;08/06/1952;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0
S052;Un bel gioco dura poco;29/06/1952;0;1;0;0;0;0;0;0.3;0;100;0.3;0;0.06;0.05;926;0;66;0;11940;0;10;0;0;0;0
S053;Funghi in città;28/09/1952;0;1;0;0;0;0;0;0.27;0;100;0.27;0;0.03;0.02;0;92;56;223;6506;0;6;0;0;0;0
S054;La formica argentina;01/10/1952;0;1;0;0;0;0;0.02;0;100;0;0.01;0.06;0;0.02;2498;222;0;1749;71831;0;15;0;0;0;0
S055;Il piccione comunale;12/10/1952;0;1;0;0;0;0;0;0;0;0;0;0;0;0;257;0;0;83;4278;0;7;0;0;0;0
S056;La pietanziera;19/10/1952;0;1;0;0;0;0;0;0;0;0;0;0;0;0;868;0;0;0;7069;0;7;0;0;0;0
S057;Gli occhi del nemico;02/11/1952;0;1;0;0;0;0;0;0;0;0;0;0;0;0;456;0;0;0;7070;0;3;0;0;0;0
S058;La fabbrica occupata;09/12/1952;0;0;0;0;0;1;0.2;0;100;0;0.16;0.06;0;0.02;0;0;0;0;0;0;0;0;0;0;9
S059;La ragazza licenziata;14/12/1952;0;1;0;0;0;0;0.29;0.2;67;33;0.44;0.12;0.03;0.07;948;82;0;0;7919;0;4;0;0;0;0
S060;Le disgrazie di un paese;14/01/1953;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2301;0;156;0;6734;0;2;0;0;0;0
S061;Il bosco sull'autostrada;01/02/1953;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;5431;0;7;0;0;0;0
S062;La cura delle vespe;15/02/1953;0;1;0;0;0;0;0;0.16;0;100;0.16;0;0.03;0.02;0;0;0;0;0;0;5;0;0;0;0
S063;La storia di Kim-Ghi-U;02/04/1953;0;0;0;0;0;1;0;0;0;0;0;0;0;0;704;125;149;0;10989;0;0;0;0;0;8
S064;Paese infido;30/04/1953;0;1;0;0;0;0;0.11;0;100;0;0.148;0.06;0;0.02;388;118;45;94;17761;0;13;0;0;0;0
S065;Gli avanguardisti a Mentone;01/05/1953;0;0.038;0;0;0;0.962;0.03;0.06;33;67;0.08;0.06;0.03;0.05;1071;146;209;608;51188;0;1;0;0;0;25
S066;L'aria buona;05/07/1953;0;1;0;0;0;0;0;0;0;0;0;0;0;0;262;0;0;224;7594;0;10;0;0;0;0
S067;L'entrata in guerra;30/07/1949;0;0.167;0;0;0;0.833;0;0;0;0;0;0;0;0;973;364;253;855;27190;0;2;0;0;0;10
S068;L'avventura di un impiegato;01/08/1953;0;1;0;0;0;0;0;0.1;0;100;0.1;0;0.03;0.02;285;386;0;191;17132;0;13;0;0;0;0
S069;Un paese disgraziato;14/10/1953;0;0;1;0;0;0;0;0.28;0;100;0.28;0;0.03;0.02;155;0;36;0;5596;0;0;2;0;0;0
S070;Il generale in biblioteca;30/10/1953;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;107;48;84;10429;0;0;3;0;0;0
S071;La fabbrica nella montagna;28/02/1954;0;0;0;0;0;1;0;0;0;0;0;0;0;0;526;0;0;146;10615;0;0;0;0;0;6
S072;Le notti dell'UNPA;25/05/1954;0;0.1;0;0;0;0.9;0;0;0;0;0;0;0;0;1108;0;40;511;39484;0;1;0;0;0;9
S073;La bomba addormentata nel bosco;01/06/1954;0;1;0;0;0;0;0;0.19;0;100;0.19;0;0.03;0.02;1102;0;80;125;8394;0;5;0;0;0;0
S074;Libertà! Libertà!;07/08/1954;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;4546;0;0;3;0;0;0
S075;I mozzatori di nasi;21/08/1954;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
S076;Dove va l'avvoltoio?;28/08/1954;0;0.5;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
S077;Il dittatore;04/09/1954;0;0;0;0;0;1;0;0;0;0;0;0;0;0;255;0;205;0;4114;0;0;0;0;0;5
