id	Fonte	Titolo Fonte	year	Occorrenza	Parte di	Parte di ID	nominato/Generico	Scala	Luogo desunto	I	C	F	Localizzabile	Terrestre	Inventato	Categoria	Start	End	Nota
L00050	S015	Come non fui Noè (Buon a nulla)	1947	città			generico						no	sì	-	generico_terrestre	4830	4835
L00051	S016	Ultimo viene il corvo	1947	(corso d') acqua			generico			x			no	sì	-	generico_terrestre	101	106
L00052	S016	Ultimo viene il corvo	1947	valle			generico						no	sì	-	generico_terrestre	2967	2972
L00053	S016	Ultimo viene il corvo	1947	baita			generico						no	sì	-	generico_terrestre	4165	4170
L00054	S016	Ultimo viene il corvo	1947	prati			generico						no	sì	-	generico_terrestre	5213	5218
L00055	S016	Ultimo viene il corvo	1947	strada			generico						no	sì	-	generico_terrestre	5913	5919
L00056	S016	Ultimo viene il corvo	1947	bosco			generico						no	sì	-	generico_terrestre	6958	6963
L00057	S016	Ultimo viene il corvo	1947	valletta			generico						no	sì	-	generico_terrestre	7096	7104
L00058	S016	Ultimo viene il corvo	1947	radura			generico					x	no	sì	-	generico_terrestre	7238	7244
L00059	S017	Visti alla mensa	1947	Torino (città)			nominato	comune	sì				sì	sì	no	nominato_terrestre	405	410
L00060	S017	Visti alla mensa	1947	mensa	Torino	L00060	generico			x		x	sì	sì	-	generico_terrestre	2117	2122	sì
L00061	S018	L'occhio del padrone	1947	vigna	vallata	L00062	generico						no	sì	-	generico_terrestre	1332	1337
L00062	S018	L'occhio del padrone	1947	vallata			generico						no	sì	-	generico_terrestre	1662	1669
L00063	S018	L'occhio del padrone	1947	fascia	vallata	L00062	generico					x	no	sì	-	generico_terrestre	3189	3195
L00064	S019	Come un volo d'anitre	1947	celle	caserma	L00066	generico						no	sì	-	generico_terrestre	130	135
L00065	S019	Come un volo d'anitre	1947	accampamento			generico						no	sì	-	generico_terrestre	2745	2757
L00066	S019	Come un volo d'anitre	1947	caserma			generico						no	sì	-	generico_terrestre	3090	3097
L00067	S019	Come un volo d'anitre	1947	villette			generico						no	sì	-	generico_terrestre	5906	5914
L00068	S019	Come un volo d'anitre	1947	montagna			generico						no	sì	-	generico_terrestre	9088	9096
L00069	S019	Come un volo d'anitre	1947	valle	montagna	L00068	generico						no	sì	-	generico_terrestre	9153	9158
L00070	S020	La fame a Bévera	1947	Val Bévera			nominato	territorio		x			sì	sì	no	nominato_terrestre	825	835
L00071	S020	La fame a Bévera	1947	strada	Val Bévera	L00070	generico						sì	sì	-	generico_terrestre	3773	3779
L00072	S020	La fame a Bévera	1947	mulattiera	Val Bévera	L00070	generico						sì	sì	-	generico_terrestre	4632	4642
L00073	S020	La fame a Bévera	1947	Bévera	Val Bévera	L00070	nominato	comune		x		x	sì	sì	no	nominato_terrestre	6659	6665
L00074	S021	Furto in una pasticceria	1947	via			generico			x			no	sì	-	generico_terrestre	186	189
L00075	S021	Furto in una pasticceria	1947	cortile			generico						no	sì	-	generico_terrestre	1224	1231
L00076	S021	Furto in una pasticceria	1947	retrobottega	pasticceria	L00077	generico						no	sì	-	generico_terrestre	1276	1288
L00077	S021	Furto in una pasticceria	1947	pasticceria			generico						no	sì	-	generico_terrestre	6428	6439
L00078	S022	Un bastimento carico di granchi	1947	carrugi	Sanremo	L00082	generico			x			sì	sì	-	generico_terrestre	203	210
L00079	S022	Un bastimento carico di granchi	1947	bastimento	mare	L00081	generico				x		no	sì	-	generico_terrestre	1906	1916
L00080	S022	Un bastimento carico di granchi	1947	porto	Sanremo	L00082	generico						sì	sì	-	generico_terrestre	1931	1936
L00081	S022	Un bastimento carico di granchi	1947	mare			generico					x	no	sì	-	generico_terrestre	3234	3238
L00082	S022	Un bastimento carico di granchi	1947	Sanremo			nominato	comune	sì				sì	sì	no	nominato_terrestre	-	-
L00083	V001	Il sentiero dei nidi di ragno	1947	bottega	città	L00092	generico						no	sì	-	generico_terrestre	645	652	sì
L00084	V001	Il sentiero dei nidi di ragno	1947	carrugio	città	L00092	generico						no	sì	-	generico_terrestre	1099	1107
L00085	V001	Il sentiero dei nidi di ragno	1947	osteria	città	L00092	generico						no	sì	-	generico_terrestre	4376	4383
L00086	V001	Il sentiero dei nidi di ragno	1947	vicoli	città	L00092	generico			x			no	sì	-	generico_terrestre	9728	9734
L00087	V001	Il sentiero dei nidi di ragno	1947	camera	città	L00092	generico				x		no	sì	-	generico_terrestre	17225	17231
L00088	V001	Il sentiero dei nidi di ragno	1947	stradine	vallata	L00089	generico						no	sì	-	generico_terrestre	32977	32985
L00089	V001	Il sentiero dei nidi di ragno	1947	vallata			generico						no	sì	-	generico_terrestre	33675	33682
