ID opera,length,title,title_short,year,tipo,percentuale_dubbio,prop_occ_come-dubbio,prop_occ_come-negazione,prop_occ_come-riformulazione,prop_occ_cosa-dubbio,prop_occ_cosa-negazione,prop_occ_cosa-riformulazione,prop_occ_senso-dubbio,prop_occ_senso-negazione,prop_occ_senso-riformulazione,cont_occ_come-dubbio,cont_occ_come-negazione,cont_occ_come-riformulazione,cont_occ_cosa-dubbio,cont_occ_cosa-negazione,cont_occ_cosa-riformulazione,cont_occ_senso-dubbio,cont_occ_senso-negazione,cont_occ_senso-riformulazione,prop_car_come-dubbio,prop_car_come-negazione,prop_car_come-riformulazione,prop_car_cosa-dubbio,prop_car_cosa-negazione,prop_car_cosa-riformulazione,prop_car_senso-dubbio,prop_car_senso-negazione,prop_car_senso-riformulazione,cont_car_come-dubbio,cont_car_come-negazione,cont_car_come-riformulazione,cont_car_cosa-dubbio,cont_car_cosa-negazione,cont_car_cosa-riformulazione,cont_car_senso-dubbio,cont_car_senso-negazione,cont_car_senso-riformulazione,prop_occ_x,prop_occ_y,cont_occ_x,cont_occ_y,cont_e_prop_occ_x,cont_e_prop_occ_y,prop_car_x,prop_car_y,cont_car_x,cont_car_y,cont_e_prop_car_x,cont_e_prop_car_y,prop_occ_perc_x,prop_occ_perc_y,prop_car_perc_x,prop_car_perc_y,prop_occ_car_perc_x,prop_occ_car_perc_y,def_mds_x,def_mds_y,def_mds_all_x,def_mds_all_y
S016,10809,Ultimo viene il corvo,Ultimo vie,1947,,9.889906559,0,0,0,0.75,0.2,0,0.05,0,0,0,0,0,15,4,0,1,0,0,0,0,0,63.61,27.13,0,9.26,0,0,0,0,0,680,290,0,99,0,0,-0.0745305521448898,-0.0275548411607278,-0.0242366774929686,-0.00678704286005564,-0.0190745873923061,-0.0396127525449686,-0.0785445722746236,-0.0213116434056868,-0.0216205074874523,-0.00142491952296073,-0.0131185671048671,-0.0431083646715765,0.03380899254,-0.06611134012,-0.04837581861,-0.0607654932,-0.06661053552,-0.04163920997,-0.09163498738,-0.0167510955,0.03386860824,-0.06613695284
S017,8658,Visti alla mensa,Visti alla,1947,,0.7392007392,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,51.56,48.44,0,0,0,0,0,0,0,33,31,0,0,0,0,-0.0555025916218001,-0.0207019425560627,-0.0380822204593211,-0.00363207244919708,-0.0313628063599486,-0.0293346422467325,-0.0713513873358281,-0.0206952842480253,-0.0320027092292001,6.05038470547334e-05,-0.0254664360889129,-0.0394941661648438,0.05153661624,-0.03778629208,-0.0643223075,-0.03710464618,-0.06439611317,-0.02300359712,2,-2,0.05163477421,-0.03781845578
S018,10063,L'occhio del padrone,L'occhio d,1947,,0.1589983106,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,16,0,0,0,0,0,-0.106878567777657,-0.0180735747855005,-0.0398191068344966,-0.00364140759477095,-0.0465050987778503,-0.041517265948353,-0.113979906032912,0.00406945001032949,-0.032680588444881,0.000197865070920981,-0.0438817226187647,-0.0469253928302659,0.09574455068,-0.0597655602,-0.1188065319,-0.02701648765,-0.1114457711,-0.01616749689,2,-2,0.09562514867,-0.05974123176
S019,11326,Come un volo d'anitre,Come un vo,1947,,0.2030725764,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,23,0,0,0,0,0,-0.106878567777657,-0.0180735747855006,-0.0393309757758981,-0.0035630141977701,-0.0461652254142194,-0.0416474087260175,-0.113979906032912,0.00406945001032951,-0.0326386465491003,0.000192788314525089,-0.0438544383066234,-0.0469355937246648,0.095679657,-0.05970199427,-0.1187240093,-0.02698301326,-0.1114014081,-0.01615374651,2,-2,0.09556033468,-0.05967769354
S020,11391,La fame a Bévera,La fame a ,1947,,0.2984812571,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,34,0,0,0,0,0,-0.106878567777657,-0.0180735747855006,-0.0393309757758981,-0.00356301419777009,-0.0461652254142194,-0.0416474087260175,-0.113979906032912,0.00406945001032951,-0.0325726905978134,0.000184846947312573,-0.0438107498476709,-0.0469532529205228,0.0955343573,-0.05956181896,-0.1185371211,-0.02691066246,-0.1113019887,-0.01612343461,2,-2,0.09541523166,-0.05953758145
S021,14106,Furto in una pasticceria,Furto in u,1947,,1.623422657,0,0,0,0.6,0.2,0,0.2,0,0,0,0,0,3,1,0,1,0,0,0,0,0,37.55,27.07,0,35.37,0,0,0,0,0,86,62,0,81,0,0,-0.0620776755984805,-0.0237512932268831,-0.0350888120739695,-0.00591463143109189,-0.0209039923684182,-0.0315789770024858,-0.0430739685104617,-0.0292841056703425,-0.0296327642660639,-0.000426091285449159,-0.0136087982199746,-0.0239189179082611,0.04852633918,-0.04455311268,-0.03571314415,-0.0296739051,-0.05124140421,-0.02442659625,2,-2,0.04860198482,-0.04457830257
S022,9906,Un bastimento carico di granchi,Un bastime,1947,riformulazione,2.54391278,0,0,0,0.5,0,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,62.7,0,37.3,0,0,0,0,0,0,158,0,94,0,0,0,-0.0716559827352758,0.0550889815245974,-0.0383316483760868,-0.00347060531326641,-0.0359715918479412,-0.0337480888782149,-0.0664761357063575,0.0748880279484138,-0.0303178256558275,3.04438759276013e-06,-0.0312414622741791,-0.032545619450129,0.08518837892,-0.00008112918318,-0.08747383869,0.03128011503,-0.07711088669,0.04988889502,-0.1053886728,0.03515390267,0.08527357261,-0.00001673243305
S023,9860,I figli poltroni,I figli po,1948,,2.464503043,0,0,0,0.6666666667,0,0,0.3333333333,0,0,0,0,0,2,0,0,1,0,0,0,0,0,39.09,0,0,60.91,0,0,0,0,0,95,0,0,148,0,0,-0.085904858871521,-0.0132283526914771,-0.0373039107693559,-0.00601727202278111,-0.0345469597771155,-0.0347045956858495,-0.0558712035124063,-0.0143601586497711,-0.0295184410751697,-0.000504607262377949,-0.02905199898612,-0.0220746275329555,0.07160791071,-0.04669294667,-0.05924373406,-0.01441540392,-0.07084464109,-0.01225098267,2,-2,0.07155146622,-0.04669211841
S024,8487,Il giardino incantato,Il giardin,1948,,3.452338871,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,293,0,0,0,0,0,-0.106878567777657,-0.0180735747855006,-0.0388415560355911,-0.00348848858341528,-0.0458181180908824,-0.0418237875625842,-0.113979906032912,0.0040694500103295,-0.0310171522263845,7.1240855749492e-05,-0.0426924904908848,-0.0475783647938364,0.08637579179,-0.06051325797,-0.1103053197,-0.0310690853,-0.1075271856,-0.01911429239,-0.1178630694,0.0108426576,0.08626716954,-0.06049190885
S026,15495,Il bosco degli animali,Il bosco d,1948,riformulazione,1.439173927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,223,0,0,0,0.000971214914684417,0.163790421161898,-0.0373293469857473,-0.00348202958356028,-0.0682138340416676,0.0076444756122344,0.0550391676228371,0.149986743679571,-0.0291915146442598,3.55025297198508e-05,-0.0578649341992897,0.0260673614173507,0.09588955519,0.1193030909,-0.03168514368,0.1534100787,-0.007356630167,0.1628769483,2,2,0.09601106551,0.1193665086
