id	title	year	length	tot_dubbio	cosa_esitazione	cosa_negazione	cosa_riformulazione	come_esitazione	come_negazione	come_riformulazione	senso_esitazione	senso_negazione	senso_riformulazione	perc_dubbio	mds_x	mds_y
S038	La casa degli alveari	1949	7418	351	0.2500000000	0.6250000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1250000000	0.0000000000	4.7317336209	-0.03626713404	-0.01673774164
S039	La stessa cosa del sangue	1949	12987	255	0.3000000000	0.1000000000	0.2000000000	0.0000000000	0.0000000000	0.0000000000	0.4000000000	0.0000000000	0.0000000000	1.9635019635	0.03625494496	0.01382545369
S040	Attesa della morte in un albergo	1949	15582	496	0.6666666667	0.0000000000	0.3333333333	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	3.1831600565	0.08476424644	-0.02152613197
S041	Uno dei tre è ancora vivo	1949	14887	563	0.7692307692	0.0769230769	0.1538461538	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	3.7818230671	0.06424061366	-0.04126437231
S042	L'avventura di un soldato	1949	19767	4372	0.4210526316	0.2456140351	0.0350877193	0.0000000000	0.0175438596	0.0175438596	0.0877192982	0.0526315789	0.1228070175	22.1176708656	-0.07357230593	-0.06394652058
S043	Desiderio in novembre	1949	14101	97	0.0000000000	0.0000000000	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.6878944756	0.09795600172	0.1198552996
S044	Lettera ad Amelia sui dischi volanti	1950	7633	748	0.4444444444	0.4444444444	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.1111111111	0.0000000000	0.0000000000	9.7995545657	0.01234862914	-0.04122394574
S045	Storia del soldato che portò il cannone a casa	1950	11610	80	0.7500000000	0.0000000000	0.2500000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.6890611542	0.09012163828	-0.02988802712
S046	Pesci grossi, pesci piccoli	1950	16862	298	0.3333333333	0.6666666667	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.7672873918	0.03796394965	-0.01355115802
S047	Cimitero di biciclette	1950	12416	147	0.0000000000	0.2000000000	0.4000000000	0.0000000000	0.0000000000	0.2000000000	0.2000000000	0.0000000000	0.0000000000	1.1839561856	0.0233375089	0.09226250649
S048	Mai nessuno degli uomini lo seppe	1950	15006	190	0.4000000000	0.0000000000	0.4000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2000000000	1.2661602026	0.04341360157	0.02077605634
S049	Il reggimento smarrito	1951	10193	345	0.0000000000	0.0000000000	0.2500000000	0.0000000000	0.0000000000	0.5000000000	0.0000000000	0.0000000000	0.2500000000	3.3846757579	-0.002531731335	0.1142528505
S050	L'avventura di una bagnante	1951	21333	2567	0.3870967742	0.1935483871	0.3870967742	0.0000000000	0.0000000000	0.0000000000	0.0322580645	0.0000000000	0.0000000000	12.0330005156	0.022879566	-0.007962697102
S051	Un compagno venuto da lontano	1952	8251	287	0.2000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2000000000	0.6000000000	0.0000000000	0.0000000000	3.4783662586	0.01689781656	0.03393356519
S052	Un bel gioco dura poco	1952	11940	42	0.0000000000	0.0000000000	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.3517587940	0.09862923493	0.120093643
S053	Funghi in città	1952	6506	154	0.5000000000	0.5000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	2.3670458039	0.04762560163	-0.0379214612
S054	La formica argentina	1952	71831	2981	0.5238095238	0.0952380952	0.1666666667	0.0000000000	0.0476190476	0.0476190476	0.0476190476	0.0000000000	0.0714285714	4.1500187941	0.02592693229	-0.0221401723
S056	La pietanziera	1952	7069	124	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.0000000000	0.0000000000	0.0000000000	1.7541377847	0.06215143008	0.07677531216
S057	Gli occhi del nemico	1952	7070	114	0.6666666667	0.3333333333	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	1.6124469590	0.05692550643	-0.04853120106
S058	La fabbrica occupata	1952	7735	66	0.0000000000	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.8532643827	0.04688568873	0.05786889722
S059	La ragazza licenziata	1952	7919	96	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.5000000000	0.5000000000	0.0000000000	0.0000000000	1.2122742771	0.0291434037	0.09409998248
S060	Le disgrazie di un paese	1953	6734	59	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.8761508762	0.09425296067	-0.0591007711
S063	La storia di Kim-Ghi-U	1953	10989	52	0.0000000000	0.0000000000	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.4732004732	0.09840014898	0.1200116853
S064	Paese infido	1953	17761	36	0.3333333333	0.0000000000	0.0000000000	0.6666666667	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2026912899	0.04989937401	-0.02671903431
S065	Gli avanguardisti a Mentone	1953	51188	1950	0.6585365854	0.0731707317	0.0975609756	0.0487804878	0.0000000000	0.0243902439	0.0487804878	0.0000000000	0.0487804878	3.8094865984	0.03436743195	-0.04129321422
S066	L'aria buona	1953	7594	7	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0921780353	0.095717699	-0.05984444933
S067	L'entrata in guerra	1949	27190	602	0.5000000000	0.2500000000	0.2500000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	2.2140492828	0.05129398356	-0.01717738506
S068	L'avventura di un impiegato	1953	17132	1494	0.4736842105	0.1578947368	0.1578947368	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0526315789	0.1578947368	8.7205229979	-0.0276067451	-0.03540553376
S070	Il generale in biblioteca	1953	10429	31	0.0000000000	0.0000000000	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.2972480583	0.09872876187	0.1201325497
S071	La fabbrica nella montagna	1954	10615	52	0.0000000000	0.0000000000	1.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.4898728215	0.09836777402	0.1199982846
